decision_id,report_id,decision,reason,timestamp
MOD00001,REP00567,valid,consistent with sensor trend,2025-10-16T19:00:00Z
MOD00002,REP00145,duplicate,same zone+category+time window,2025-11-25T20:00:00Z
MOD00003,REP00637,valid,clear description,2025-10-31T21:00:00Z
MOD00004,REP00565,invalid,insufficient detail,2025-10-07T00:00:00Z
MOD00005,REP00635,valid,clear description,2025-10-28T04:00:00Z
MOD00006,REP00487,valid,multiple reports corroborate,2025-10-04T18:00:00Z
MOD00007,REP00349,valid,clear description,2025-11-20T19:00:00Z
MOD00008,REP00338,valid,multiple reports corroborate,2025-11-27T22:00:00Z
MOD00009,REP00456,duplicate,near-identical timestamp cluster,2025-11-10T04:00:00Z
MOD00010,REP00417,valid,clear description,2025-10-30T12:00:00Z
MOD00011,REP00425,duplicate,near-identical timestamp cluster,2025-11-18T21:00:00Z
MOD00012,REP00571,valid,consistent with sensor trend,2025-10-10T22:00:00Z
MOD00013,REP00643,valid,consistent with sensor trend,2025-10-27T04:00:00Z
MOD00014,REP00110,valid,consistent with sensor trend,2025-11-15T13:00:00Z
MOD00015,REP00144,duplicate,matches existing open report,2025-11-22T14:00:00Z
MOD00016,REP00332,valid,consistent with sensor trend,2025-11-19T17:00:00Z
MOD00017,REP00598,valid,clear description,2025-11-04T05:00:00Z
MOD00018,REP00290,duplicate,same zone+category+time window,2025-10-23T01:00:00Z
MOD00019,REP00031,valid,multiple reports corroborate,2025-10-13T19:00:00Z
MOD00020,REP00476,valid,clear description,2025-11-17T17:00:00Z
MOD00021,REP00119,valid,clear description,2025-11-10T04:00:00Z
MOD00022,REP00123,valid,multiple reports corroborate,2025-10-05T00:00:00Z
MOD00023,REP00623,valid,multiple reports corroborate,2025-11-23T06:00:00Z
MOD00024,REP00132,duplicate,same zone+category+time window,2025-10-08T19:00:00Z
MOD00025,REP00235,duplicate,near-identical timestamp cluster,2025-11-24T02:00:00Z
MOD00026,REP00302,valid,multiple reports corroborate,2025-10-03T16:00:00Z
MOD00027,REP00588,invalid,out of scope,2025-11-13T12:00:00Z
MOD00028,REP00282,valid,multiple reports corroborate,2025-11-24T12:00:00Z
MOD00029,REP00320,valid,consistent with sensor trend,2025-11-17T10:00:00Z
MOD00030,REP00154,valid,consistent with sensor trend,2025-10-09T19:00:00Z
MOD00031,REP00297,duplicate,near-identical timestamp cluster,2025-10-17T08:00:00Z
MOD00032,REP00090,duplicate,near-identical timestamp cluster,2025-10-11T10:00:00Z
MOD00033,REP00357,invalid,out of scope,2025-10-26T18:00:00Z
MOD00034,REP00316,valid,consistent with sensor trend,2025-11-13T14:00:00Z
MOD00035,REP00386,duplicate,same zone+category+time window,2025-10-11T05:00:00Z
MOD00036,REP00230,duplicate,near-identical timestamp cluster,2025-10-21T17:00:00Z
MOD00037,REP00412,invalid,insufficient detail,2025-10-18T00:00:00Z
MOD00038,REP00545,invalid,insufficient detail,2025-11-24T06:00:00Z
MOD00039,REP00071,valid,consistent with sensor trend,2025-11-17T08:00:00Z
MOD00040,REP00175,valid,consistent with sensor trend,2025-10-15T00:00:00Z
MOD00041,REP00427,valid,clear description,2025-11-01T11:00:00Z
MOD00042,REP00517,valid,clear description,2025-10-14T06:00:00Z
MOD00043,REP00413,valid,consistent with sensor trend,2025-11-12T01:00:00Z
MOD00044,REP00378,duplicate,matches existing open report,2025-10-15T02:00:00Z
MOD00045,REP00523,duplicate,near-identical timestamp cluster,2025-11-07T10:00:00Z
MOD00046,REP00030,valid,clear description,2025-10-20T12:00:00Z
MOD00047,REP00542,valid,consistent with sensor trend,2025-11-24T11:00:00Z
MOD00048,REP00549,valid,clear description,2025-11-20T05:00:00Z
MOD00049,REP00032,valid,consistent with sensor trend,2025-10-12T08:00:00Z
MOD00050,REP00098,valid,clear description,2025-10-08T15:00:00Z
MOD00051,REP00016,duplicate,same zone+category+time window,2025-11-29T18:00:00Z
MOD00052,REP00026,valid,consistent with sensor trend,2025-11-03T21:00:00Z
MOD00053,REP00431,valid,multiple reports corroborate,2025-10-12T17:00:00Z
MOD00054,REP00311,duplicate,same zone+category+time window,2025-11-05T08:00:00Z
MOD00055,REP00630,duplicate,same zone+category+time window,2025-11-24T20:00:00Z
MOD00056,REP00089,duplicate,same zone+category+time window,2025-10-17T17:00:00Z
MOD00057,REP00028,valid,multiple reports corroborate,2025-11-20T08:00:00Z
MOD00058,REP00206,valid,consistent with sensor trend,2025-10-23T23:00:00Z
MOD00059,REP00537,valid,multiple reports corroborate,2025-11-21T16:00:00Z
MOD00060,REP00257,duplicate,matches existing open report,2025-10-22T23:00:00Z
MOD00061,REP00583,valid,consistent with sensor trend,2025-10-09T07:00:00Z
MOD00062,REP00606,valid,multiple reports corroborate,2025-10-16T19:00:00Z
MOD00063,REP00447,valid,multiple reports corroborate,2025-10-06T14:00:00Z
MOD00064,REP00021,valid,consistent with sensor trend,2025-11-14T21:00:00Z
MOD00065,REP00322,valid,consistent with sensor trend,2025-10-22T18:00:00Z
MOD00066,REP00082,valid,clear description,2025-10-30T04:00:00Z
MOD00067,REP00259,valid,clear description,2025-11-29T14:00:00Z
MOD00068,REP00168,valid,multiple reports corroborate,2025-10-28T09:00:00Z
MOD00069,REP00632,valid,multiple reports corroborate,2025-10-29T06:00:00Z
MOD00070,REP00199,valid,consistent with sensor trend,2025-10-09T08:00:00Z
MOD00071,REP00067,valid,multiple reports corroborate,2025-11-28T16:00:00Z
MOD00072,REP00507,valid,multiple reports corroborate,2025-11-03T23:00:00Z
MOD00073,REP00164,valid,multiple reports corroborate,2025-10-10T12:00:00Z
