obs_id,zone_id,timestamp,source,value_db,category_tag
OBS000001,Z10,2025-10-24T14:18:00Z,sensor,57.7,other
OBS000002,Z05,2025-11-29T21:28:00Z,report,66.4,music
OBS000003,Z06,2025-11-16T02:46:00Z,sensor,49.6,traffic
OBS000004,Z11,2025-11-07T17:10:00Z,report,77.9,music
OBS000005,Z10,2025-10-10T19:54:00Z,sensor,62.4,traffic
OBS000006,Z07,2025-10-10T19:51:00Z,report,70.0,machinery
OBS000007,Z07,2025-10-04T15:49:00Z,sensor,67.6,music
OBS000008,Z02,2025-11-24T13:39:00Z,report,66.7,machinery
OBS000009,Z12,2025-11-07T20:53:00Z,report,63.2,traffic
OBS000010,Z03,2025-11-14T14:36:00Z,report,50.8,event
OBS000011,Z12,2025-10-02T07:07:00Z,sensor,50.2,other
OBS000012,Z06,2025-12-01T02:30:00Z,report,40.7,construction
OBS000013,Z03,2025-11-22T10:39:00Z,report,65.8,other
OBS000014,Z02,2025-10-14T09:03:00Z,report,58.8,other
OBS000015,Z04,2025-10-12T10:55:00Z,sensor,44.3,construction
OBS000016,Z05,2025-10-12T13:18:00Z,sensor,63.9,traffic
OBS000017,Z11,2025-10-20T04:00:00Z,report,52.7,music
OBS000018,Z10,2025-11-03T01:25:00Z,report,32.4,traffic
OBS000019,Z09,2025-10-28T05:06:00Z,report,52.8,construction
OBS000020,Z03,2025-10-19T08:20:00Z,sensor,54.3,voices
OBS000021,Z03,2025-11-08T13:07:00Z,sensor,58.0,traffic
OBS000022,Z06,2025-10-09T18:54:00Z,sensor,71.5,traffic
OBS000023,Z05,2025-10-19T09:43:00Z,sensor,68.1,music
OBS000024,Z06,2025-10-24T01:56:00Z,sensor,47.9,traffic
OBS000025,Z07,2025-10-29T17:34:00Z,sensor,69.8,traffic
OBS000026,Z11,2025-11-19T11:11:00Z,sensor,60.6,sports
OBS000027,Z03,2025-10-13T13:54:00Z,sensor,65.4,machinery
OBS000028,Z05,2025-11-02T09:31:00Z,sensor,64.0,traffic
OBS000029,Z08,2025-11-07T07:43:00Z,sensor,55.2,event
OBS000030,Z04,2025-10-03T22:13:00Z,sensor,49.7,other
OBS000031,Z10,2025-11-08T06:36:00Z,sensor,55.2,traffic
OBS000032,Z02,2025-10-11T17:49:00Z,sensor,70.1,music
OBS000033,Z04,2025-10-05T02:21:00Z,sensor,41.8,traffic
OBS000034,Z02,2025-11-29T18:42:00Z,report,75.5,other
OBS000035,Z03,2025-11-30T20:02:00Z,sensor,57.2,traffic
OBS000036,Z04,2025-11-20T22:17:00Z,sensor,40.0,machinery
OBS000037,Z04,2025-10-20T04:34:00Z,report,43.8,music
OBS000038,Z10,2025-10-07T03:40:00Z,report,41.2,sports
OBS000039,Z09,2025-11-13T02:33:00Z,report,43.8,voices
OBS000040,Z10,2025-10-28T17:30:00Z,sensor,64.9,event
OBS000041,Z06,2025-10-08T16:31:00Z,sensor,66.3,event
OBS000042,Z09,2025-11-01T04:42:00Z,report,43.9,event
OBS000043,Z04,2025-10-03T03:59:00Z,sensor,45.2,other
OBS000044,Z09,2025-11-27T06:53:00Z,sensor,70.1,traffic
OBS000045,Z11,2025-10-17T07:16:00Z,sensor,56.2,traffic
OBS000046,Z09,2025-11-11T17:44:00Z,report,68.5,construction
OBS000047,Z06,2025-10-20T15:18:00Z,sensor,68.5,voices
OBS000048,Z05,2025-11-02T18:20:00Z,sensor,71.0,traffic
OBS000049,Z03,2025-11-04T10:37:00Z,sensor,59.2,traffic
OBS000050,Z05,2025-10-12T15:29:00Z,sensor,58.2,traffic
OBS000051,Z03,2025-12-01T02:00:00Z,sensor,35.9,traffic
OBS000052,Z05,2025-11-18T20:00:00Z,sensor,74.3,construction
OBS000053,Z05,2025-11-29T04:31:00Z,sensor,40.2,music
OBS000054,Z02,2025-11-26T08:58:00Z,sensor,59.9,traffic
OBS000055,Z09,2025-11-07T16:01:00Z,report,67.1,construction
OBS000056,Z07,2025-11-28T01:52:00Z,sensor,43.7,music
OBS000057,Z06,2025-10-06T13:48:00Z,sensor,69.1,traffic
OBS000058,Z05,2025-10-13T08:19:00Z,sensor,60.8,other
OBS000059,Z04,2025-10-03T20:23:00Z,sensor,63.5,machinery
OBS000060,Z08,2025-10-21T11:53:00Z,report,67.0,event
OBS000061,Z02,2025-10-25T11:40:00Z,sensor,56.4,other
OBS000062,Z08,2025-10-18T02:16:00Z,sensor,42.2,traffic
OBS000063,Z01,2025-11-22T05:03:00Z,sensor,43.3,traffic
OBS000064,Z10,2025-10-23T11:24:00Z,sensor,57.4,music
OBS000065,Z01,2025-10-18T16:46:00Z,sensor,70.0,traffic
OBS000066,Z03,2025-11-04T04:33:00Z,sensor,42.0,music
OBS000067,Z05,2025-10-09T21:04:00Z,report,65.9,traffic
OBS000068,Z06,2025-11-20T12:55:00Z,sensor,69.1,traffic
OBS000069,Z04,2025-10-05T16:43:00Z,sensor,53.9,traffic
OBS000070,Z07,2025-12-02T04:10:00Z,sensor,45.4,voices
OBS000071,Z07,2025-11-18T15:38:00Z,sensor,61.4,sports
OBS000072,Z02,2025-10-13T12:27:00Z,sensor,66.7,machinery
OBS000073,Z02,2025-10-01T08:20:00Z,sensor,57.3,construction
OBS000074,Z02,2025-11-21T08:58:00Z,sensor,60.3,traffic
OBS000075,Z02,2025-11-14T12:46:00Z,sensor,61.7,music
OBS000076,Z09,2025-11-15T22:15:00Z,sensor,56.0,event
OBS000077,Z05,2025-11-18T14:09:00Z,sensor,61.3,music
OBS000078,Z11,2025-10-05T15:57:00Z,sensor,60.2,machinery
OBS000079,Z08,2025-10-23T14:00:00Z,report,64.2,construction
OBS000080,Z05,2025-10-08T07:11:00Z,sensor,54.7,music
OBS000081,Z11,2025-11-24T09:00:00Z,report,61.1,traffic
OBS000082,Z05,2025-11-09T06:25:00Z,sensor,64.2,construction
OBS000083,Z01,2025-10-21T20:19:00Z,sensor,69.8,other
OBS000084,Z06,2025-10-05T00:06:00Z,sensor,45.3,other
OBS000085,Z04,2025-10-20T14:12:00Z,report,53.6,machinery
OBS000086,Z03,2025-10-21T11:40:00Z,report,63.7,traffic
OBS000087,Z06,2025-11-15T23:09:00Z,sensor,60.5,traffic
OBS000088,Z02,2025-11-10T03:59:00Z,sensor,51.0,construction
OBS000089,Z08,2025-11-25T21:27:00Z,sensor,65.7,other
OBS000090,Z01,2025-10-30T17:59:00Z,sensor,76.7,construction
OBS000091,Z12,2025-10-08T12:49:00Z,sensor,55.3,sports
OBS000092,Z09,2025-11-14T22:25:00Z,sensor,60.1,traffic
OBS000093,Z08,2025-11-17T22:18:00Z,sensor,51.5,traffic
OBS000094,Z01,2025-11-05T08:39:00Z,sensor,53.7,voices
OBS000095,Z10,2025-11-18T13:42:00Z,sensor,60.1,construction
OBS000096,Z12,2025-11-01T02:37:00Z,report,42.2,traffic
OBS000097,Z09,2025-11-02T22:22:00Z,sensor,60.0,voices
OBS000098,Z02,2025-10-27T22:26:00Z,sensor,50.5,traffic
OBS000099,Z03,2025-10-02T14:26:00Z,sensor,58.2,music
OBS000100,Z02,2025-10-07T19:07:00Z,sensor,60.2,other
OBS000101,Z08,2025-10-02T23:31:00Z,sensor,49.9,machinery
OBS000102,Z02,2025-11-10T02:15:00Z,sensor,39.0,voices
OBS000103,Z10,2025-10-20T19:18:00Z,sensor,65.5,machinery
OBS000104,Z02,2025-11-02T00:57:00Z,sensor,47.9,construction
OBS000105,Z01,2025-11-27T04:14:00Z,sensor,45.6,traffic
OBS000106,Z07,2025-10-16T16:55:00Z,sensor,69.2,music
OBS000107,Z12,2025-10-26T20:29:00Z,sensor,60.3,music
OBS000108,Z02,2025-11-17T14:23:00Z,report,61.0,machinery
OBS000109,Z10,2025-10-15T09:56:00Z,sensor,59.8,sports
OBS000110,Z05,2025-10-05T20:23:00Z,report,68.7,event
OBS000111,Z05,2025-10-19T06:06:00Z,sensor,58.2,music
OBS000112,Z03,2025-10-11T03:45:00Z,sensor,35.2,traffic
OBS000113,Z03,2025-11-28T13:42:00Z,sensor,63.0,traffic
OBS000114,Z12,2025-11-20T21:52:00Z,sensor,61.7,music
OBS000115,Z03,2025-11-09T21:42:00Z,sensor,63.2,machinery
OBS000116,Z06,2025-11-24T21:38:00Z,report,74.0,voices
OBS000117,Z04,2025-11-20T15:09:00Z,sensor,54.1,traffic
