obs_id,zone_id,timestamp,source,value_db,category_tag
O00001,Z09,2023-01-06 18:27:00,sensor,64.97,traffic
O00002,Z02,2023-01-14 07:32:00,sensor,58.62,other
O00003,Z04,2023-02-15 20:44:00,report,66.48,construction
O00004,Z08,2023-02-07 08:51:00,sensor,75.23,construction
O00005,Z12,2023-01-28 10:17:00,sensor,57.66,construction
O00006,Z06,2023-01-07 02:24:00,sensor,57.66,event
O00007,Z06,2023-02-08 08:51:00,sensor,75.79,music
O00008,Z09,2023-01-08 12:05:00,report,67.67,other
O00009,Z06,2023-02-06 06:45:00,sensor,55.31,traffic
O00010,Z11,2023-01-15 09:05:00,sensor,65.43,traffic
O00011,Z07,2023-01-18 14:40:00,report,55.37,construction
O00012,Z06,2023-01-23 06:42:00,report,55.34,traffic
O00013,Z10,2023-02-10 05:34:00,sensor,62.42,construction
O00014,Z08,2023-01-25 08:59:00,sensor,40.87,event
O00015,Z01,2023-01-15 01:51:00,report,42.75,music
O00016,Z05,2023-01-05 06:58:00,report,54.38,construction
O00017,Z11,2023-02-01 12:56:00,report,49.87,construction
O00018,Z05,2023-01-09 07:47:00,report,63.14,other
O00019,Z07,2023-02-07 12:23:00,sensor,50.92,construction
O00020,Z09,2023-02-01 02:48:00,sensor,45.88,traffic
O00021,Z03,2023-02-10 05:50:00,report,74.66,other
O00022,Z02,2023-01-25 12:38:00,report,57.74,other
O00023,Z05,2023-02-05 00:43:00,sensor,60.68,other
O00024,Z05,2023-02-19 20:21:00,sensor,45.75,event
O00025,Z07,2023-01-11 14:00:00,report,54.56,other
O00026,Z03,2023-02-02 03:55:00,report,61.11,other
O00027,Z10,2023-01-13 04:23:00,sensor,48.49,other
O00028,Z09,2023-01-01 19:20:00,report,63.76,traffic
O00029,Z02,2023-01-24 09:15:00,sensor,53.99,construction
O00030,Z10,2023-01-06 02:46:00,report,57.08,traffic
O00031,Z09,2023-02-19 04:08:00,report,53.98,other
O00032,Z03,2023-01-17 16:55:00,report,78.52,construction
O00033,Z09,2023-02-18 23:44:00,sensor,59.87,event
O00034,Z07,2023-02-12 20:23:00,report,49.42,other
O00035,Z08,2023-01-08 07:14:00,sensor,68.23,event
O00036,Z01,2023-02-07 17:14:00,sensor,47.79,traffic
O00037,Z02,2023-02-15 20:03:00,sensor,62.09,traffic
O00038,Z01,2023-02-25 10:04:00,sensor,40.4,event
O00039,Z11,2023-02-01 06:34:00,sensor,46.72,other
O00040,Z10,2023-01-31 07:50:00,report,61.97,music
O00041,Z04,2023-01-07 03:42:00,report,67.38,event
O00042,Z07,2023-01-27 14:55:00,sensor,61.71,traffic
O00043,Z01,2023-01-26 23:21:00,sensor,58.84,construction
O00044,Z04,2023-01-13 17:28:00,sensor,56.99,music
O00045,Z03,2023-01-18 14:15:00,sensor,45.21,music
O00046,Z09,2023-01-07 01:41:00,sensor,52.8,traffic
O00047,Z04,2023-01-11 13:31:00,report,55.39,construction
O00048,Z07,2023-01-04 05:24:00,sensor,70.57,music
O00049,Z05,2023-02-20 14:18:00,report,63.44,other
O00050,Z11,2023-02-15 15:09:00,sensor,42.37,event
O00051,Z04,2023-01-04 18:47:00,sensor,63.24,event
O00052,Z01,2023-01-04 18:30:00,sensor,56.15,traffic
O00053,Z09,2023-01-06 05:04:00,sensor,53.23,construction
