hotspot_id,zone_id,time_window,severity_score,rationale
H01,Z09,day,62.0,Based on sensor trend
H02,Z07,day,60.2,Based on sensor trend
H03,Z06,day,59.3,Based on sensor trend
H04,Z11,day,58.7,Based on sensor trend
H05,Z05,day,58.0,Based on sensor trend
H06,Z01,day,57.6,Based on sensor trend
H07,Z02,day,57.1,Based on sensor trend
H08,Z08,day,56.9,Based on sensor trend
H09,Z10,day,54.6,Based on sensor trend
H10,Z03,day,53.6,Based on sensor trend
H11,Z12,day,51.9,Based on sensor trend
H12,Z04,day,51.1,Based on sensor trend
