decision_id,report_id,decision,reason,timestamp
D001,R139,invalid,Reason for invalid,2026-02-10 09:16:39.551623
D002,R197,invalid,Reason for invalid,2026-02-10 09:16:39.551634
D003,R257,invalid,Reason for invalid,2026-02-10 09:16:39.551640
D004,R107,valid,Reason for valid,2026-02-10 09:16:39.551644
D005,R597,duplicate,Reason for duplicate,2026-02-10 09:16:39.551649
D006,R334,valid,Reason for valid,2026-02-10 09:16:39.551654
D007,R326,duplicate,Reason for duplicate,2026-02-10 09:16:39.551658
D008,R255,invalid,Reason for invalid,2026-02-10 09:16:39.551662
D009,R586,duplicate,Reason for duplicate,2026-02-10 09:16:39.551666
D010,R150,duplicate,Reason for duplicate,2026-02-10 09:16:39.551670
D011,R370,duplicate,Reason for duplicate,2026-02-10 09:16:39.551674
D012,R081,duplicate,Reason for duplicate,2026-02-10 09:16:39.551678
D013,R276,valid,Reason for valid,2026-02-10 09:16:39.551682
D014,R160,invalid,Reason for invalid,2026-02-10 09:16:39.551686
D015,R578,invalid,Reason for invalid,2026-02-10 09:16:39.551691
D016,R457,valid,Reason for valid,2026-02-10 09:16:39.551695
D017,R065,valid,Reason for valid,2026-02-10 09:16:39.551699
D018,R196,invalid,Reason for invalid,2026-02-10 09:16:39.551703
D019,R133,valid,Reason for valid,2026-02-10 09:16:39.551707
D020,R342,valid,Reason for valid,2026-02-10 09:16:39.551711
D021,R262,valid,Reason for valid,2026-02-10 09:16:39.551715
D022,R509,duplicate,Reason for duplicate,2026-02-10 09:16:39.551719
D023,R113,valid,Reason for valid,2026-02-10 09:16:39.551723
D024,R099,duplicate,Reason for duplicate,2026-02-10 09:16:39.551729
D025,R528,valid,Reason for valid,2026-02-10 09:16:39.551734
D026,R162,duplicate,Reason for duplicate,2026-02-10 09:16:39.551739
D027,R039,invalid,Reason for invalid,2026-02-10 09:16:39.551743
D028,R416,invalid,Reason for invalid,2026-02-10 09:16:39.551748
D029,R352,valid,Reason for valid,2026-02-10 09:16:39.551752
D030,R422,valid,Reason for valid,2026-02-10 09:16:39.551757
D031,R135,valid,Reason for valid,2026-02-10 09:16:39.551761
D032,R398,duplicate,Reason for duplicate,2026-02-10 09:16:39.551766
D033,R578,duplicate,Reason for duplicate,2026-02-10 09:16:39.551771
D034,R529,valid,Reason for valid,2026-02-10 09:16:39.551775
D035,R062,valid,Reason for valid,2026-02-10 09:16:39.551779
D036,R079,valid,Reason for valid,2026-02-10 09:16:39.551783
D037,R169,invalid,Reason for invalid,2026-02-10 09:16:39.551787
D038,R213,valid,Reason for valid,2026-02-10 09:16:39.551791
D039,R024,valid,Reason for valid,2026-02-10 09:16:39.551795
D040,R430,duplicate,Reason for duplicate,2026-02-10 09:16:39.551799
D041,R594,duplicate,Reason for duplicate,2026-02-10 09:16:39.551803
D042,R346,duplicate,Reason for duplicate,2026-02-10 09:16:39.551808
